country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Ecuador,34.1,35,35,37.3,49.2,51.2,51.2,51.2,51.2,51.5,45.3,45.3,45.3,45.3,49.8,49.7,49.7,49.7,46.9,47.9,46.4,45.4,41.8,41.8,41.2,41.8,41.1,40.5,41.2,41.2,43,43.5,45,45.7,45.7,44.9,44.9,44.9,44.9,44.9,44.9,44.9,47.8,47,47,47.3,49.6
Egypt,37.6,37.6,37.6,37.6,37.6,31.3,31.3,29.8,29.8,29.1,29.9,29.9,29.9,29.9,29.9,21.4,21.4,21.8,21.9,24.8,22.1,21.4,21.4,21.4,21.4,21.4,20.2,20.2,20.2,20.2,20.2,20.2,21.4,21.4,21.4,21.4,28.7,28.3,37.8,40.1,31.9,31.9,31.9,31.9,31.5,31.5,30.2
Eritrea,,,,,,,,,,,,,,,,,,,51.1,51.1,51.1,51.1,51.1,51.1,51.1,51.1,40.3,39,39,39,39,39,39,39,39.4,39.4,39.4,39,38.6,38.6,38.6,35.9,36.7,35.6,37.4,36.5,34.7
Spain,57.7,59.5,75.6,75.6,78.6,78.6,78.6,78.6,78.6,78.4,78.4,78.4,78.4,78.4,78.4,78.4,78.4,79.2,79.2,78.4,77.7,78.4,79.2,79.2,78.4,78.4,77.7,77.7,77.7,77.7,78.4,78.4,78.4,78.4,78.4,78.4,75.8,74.3,73.2,72.7,72.7,72.7,72.7,77.7,84.6,84.6,79.5
Estonia,,,,,,,,,,,,,,,,,65.2,66.6,66.6,66.6,66.6,66.6,66.6,65.2,67.4,73.2,72.4,71.6,71.6,75.3,77.6,76.4,76.4,77.6,77.6,79.2,79.2,79.2,79.2,79.2,79.7,79.7,79.7,78.3,77.8,77.8,77.8
Ethiopia,41,41,41,41,41,41,41,41,41,41,41.6,41.6,42.7,42.7,42.7,42.7,41.5,40.7,41.5,41.5,39.9,39.9,39.9,39.9,39.9,39.9,39.9,39.9,39.9,39.9,39.9,39.9,41.1,41.1,40.1,40.1,40.1,39.3,39.3,40.1,39.6,39.6,41.9,43.5,44.1,44.4,43.6
Finland,88.3,88.3,88.3,88.3,88.3,88.3,88.3,88.3,88.3,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,88.6,88.6,88.6,88.6,88.6,88.6,88.6,88.6,86.4,86.4
Fiji,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,50.5,52.4,53.4,53.4,52.4,52.4,52.4,52.4,55.2,55.2,55.2,55.8,55.8,54.7,51.3,51.3
France,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,76.5,76.5,76.1,76.1,76.1,76.1,76.1,76.1,76.5,76.5,76.1,75.5,75.5,75.5,75.5,74.9,74.9,74.9,74.9,74.9,74.9,74.9,74.9,75.5,76.1,76.1,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5
Gabon,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,22.1,22.1,22.1,22.1,22.1,22.1,22.1,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.3,22.1,25,25,22.9,37.3,37.3,37.3,37.3,32,34.6,29.4,30.5,30
UK,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,83.7,83.7,83.7,83.7,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,82.5,82.5,81.3,81.3,81.3,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,81.3,81.3,83.9,83.9,83.9,81.3,80.8
Georgia,,,,,,,,,,,,,,,,,26.8,24.1,19,19,17.5,17.5,18.5,18.5,20,22.9,22.9,22.9,22.9,61.7,65.8,67.9,69.5,69.5,69.5,69.5,69.5,69.5,68.8,66.3,66.3,66.3,67.2,64.9,64.1,62.7,62.4
