country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Sweden,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,90.9,90.9,90.9,90.9,90.9,90.9,90.9
Eswatini,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,34,34,34,34,36.8,34.5,34.5,34.5,35.1
Syria,32.1,32.1,32.1,32.1,32.1,23.4,23.4,23.4,23.4,22.8,23.8,23.8,23.8,23.8,23.8,23.8,23.8,24.4,24.5,24.5,24.5,24.5,24.5,24.5,24.5,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,21.2,16.2,4.45,4.45,4.45,4.45,4.45,4.45,17.3,21.2,19.8
Chad,32.8,32.8,32.8,32.8,32.8,22.4,22.4,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,14.9,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,11.5,11.5,11.5,11.5,4.52
Togo,40.2,41,41,41,41,41,41,41,41,40.5,40.5,40.5,40.5,40.5,40.5,38.8,24,24,19.4,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,22,22,22,26,28.6,28.6,28.6,28.6,28.6,29.6,28.6,28.6,28.6,30.9,30.9,31.8,33,31.4,30.4,29.9
Thailand,23.1,23.1,23.1,23.1,23.1,25.6,25.6,25.6,25.6,26.6,26.6,26.6,26.6,31.7,31.7,32.9,32.9,32.9,32.9,32.9,32.9,32.9,34.5,34,34,38.6,38,38,38,38,38,38,38.8,38.8,38.6,37.5,37.5,37.5,38.3,35.7,35.7,35.7,35.7,35.7,35.5,35.5,35.5
Tajikistan,,,,,,,,,,,,,,,,,31.7,21.8,25.5,25.5,23.7,25.8,25.8,19.5,17.7,17.7,17.7,16,16,16,16,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,12.5,20.9,19.1,24.6,20
Turkmenistan,,,,,,,,,,,,,,,,,19.7,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,18.9,15.3,15.3,15.3,15.3,15,15,15,15,16.8,16.8,17.5,17.5,17.5
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.4,46.4,46.4,51,51,51,50.5,50,50,50,50,49.4,49.4,49.9,50.7,52.7,52.7,52.7,52.7,52.7
Trinidad and Tobago,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,59.9,59.9,59.9,59.9,60.4,60.4,61.3,61.3,61.3,61.3,61.3,60,60,60,60,60,60,60,60.8,60.8,60.8,60.8,60.8,60.8,60.8,60.8,59.5,60.1,60.1,60.1,60.1,60.1,67.6,67.6,67.6,69.3,69.3,70.9
Tunisia,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.7,43.7,43.7,38.8,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.7,61.7,60.4,57.9,57.9,61.6,60.5,60.5,60.5,60.5,61.5,58.7
Turkey,56.1,56.1,56.1,56.1,56.1,57.2,57.2,57.2,53.3,51.3,51.3,51.3,51.3,51.3,50.7,50.7,50.7,51.7,51.7,51.7,51.3,50.7,50.7,50.7,50.7,51.5,51.5,54.8,54.8,57.7,57.7,57.7,57.9,53.2,53.2,49.2,48.5,47.7,45.5,40.7,40.1,36.3,35.6,35,35,35,36.2
Taiwan,49.7,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,51.2,51.2,51.2,51.2,57.2,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.1,57.1,57.1,61.8,61.8,62.3,62.3,62.3,62.3,61.8,61.1,61.1,61.7,61.7,61.7,61.7,63.3,63.3,63.3,66.8,68.2,66.9,66.9,66.9,66.9
Tanzania,76.7,76.7,76.7,76.7,76.7,74.3,74.3,74.3,74.3,73.5,67.3,57.7,57.7,57.7,57.7,52.7,52.7,52.7,51.4,49.6,48.3,47.9,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,48.5,49.1,49.1,49.1,48.5,48.5,48.5,48.2,48.2,50.4,57.4,60.8,62.9,62.9,63.3,59.5
Uganda,11.1,11.1,11.1,11.1,11.1,34.1,34.1,34.1,34.1,33.5,33.5,46.2,48.1,51.5,51,52.2,52.2,52.2,51.5,48.7,47.5,43.6,41.3,41.3,40.1,36.8,36.3,36.3,36.3,33.6,31.8,31.8,31.8,31.8,31.8,31,31,30.4,30.4,30.4,30.4,30.8,28,29.4,28.6,29.4,29.4
Ukraine,,,,,,,,,,,,,,,,,41,33.3,29.6,22.6,19.5,19.5,19.5,20.6,21.8,24.4,23.5,22.6,23.2,31.4,32.9,29.6,30.7,31.7,27.6,27.3,27.3,26.6,27.4,33.8,36.4,37.2,37.8,38.6,43.5,41.9,41.9
Uruguay,54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,72,72,72,72,72,68.9,68.9,68.9,68.9,68.9,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,69.6,69.6,69.6,69.6,69.6,69.6,69.6,69.6,68.4
USA,75.4,75.4,75.4,75.4,75.4,77.4,73.8,73.8,73.8,74.5,74.5,74.5,76.4,76.4,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.3,77.3,77.3,77.3,77.3,77.3,76.7,77.3,77.3,77.9,77.3,77.3,77.3,78.4,78.4,78.4,81.3,80.7,80.7,81.3,77.8,66.4,66.2,69,70.6,70.6
Uzbekistan,,,,,,,,,,,,,,,,,35.4,28.9,27.5,26.5,26.5,26.5,24.8,19,19,19,19,19,20.4,19.2,17.2,18.5,18.5,18.5,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9,25.3,28.1,31.3,28.7,29.7
Venezuela,45,45,45,45,45,44.2,44.2,44.2,44.2,43.2,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43,43.9,43.9,43.9,43.9,43.3,43.3,40.8,25.6,25.1,23.8,23.8,23.8,17.1,17.1,15.3,14.9,13.7,11.1,11.1,11.1,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45
Vietnam,56.3,52,52,52,52,50.3,50.3,51.5,51.5,51.5,51,48.6,46.4,47.1,47.1,46.4,46.2,46.2,46.2,46.2,46.2,46.2,45.5,46,46,46,45.5,45.5,45.5,45.5,45.5,46,46,46.8,46.8,46,46,46,48.7,48.7,48.7,48.7,48.7,48.7,49.2,49.2,48.3
Vanuatu,,,,,,48,48,48,48,48,48,48,48,48,48,48,47.4,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,47.2,47.2,47.2,50.5,51
Yemen,85.8,85.8,85.8,50.9,50.7,50.7,50.7,50.7,50.7,50.7,50.7,47.1,47.1,47.1,47.1,45.2,42.1,42.1,42.8,42.8,24.7,24.7,24.7,24.7,24.7,22,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,23.3,20.5,21.3,19.5,18.2,17.2,17.2,21.1,17.2,13
South Africa,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,47.6,47.6,47.6,47.5,47.5,47.5,47.5,47.5,47.5,47.5,46.5,47,47,47,46.4,46.4,46.4,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.4,42.3,41.1,41.1,41.1,40.4,40.4,39,39,39,37.4,39,45.6,41.7
Zambia,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,57.7,57.9,57.9,57.9,57.9,57.9,57.6,46.6,43,43,42.7,42.7,42.7,42.7,43.5,43.5,42.9,45.8,57,57,57,65.2,65.2,65.2,46.7,46.7,46.7,52.5,64.4,55.2,55.2,54.4,54.4,49.5,44.1,45,45.2,51.1
Zimbabwe,65.8,65.8,65.8,65.8,65.8,55.1,55.1,55.1,55.1,54.5,55.2,55.2,55.2,55.2,55.2,51.8,51.8,52.3,52.3,52.3,52.3,51.8,51,43.2,43.2,23.5,22.7,22.7,21.3,21.3,21.3,21.3,21.3,21.3,23.3,25.8,25.8,25.8,27.1,27.1,27.1,25.6,25.9,28.4,27.9,28.4,29.9
